time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-19T02:52:13.590Z,36.1238327,-117.8280029,2.86,3.28,ml,48,51,0.02262,0.18,ci,ci38600815,2019-07-19T02:54:28.134Z,"14km NE of Coso Junction, CA",earthquake,0.22,0.52,0.249,24,automatic,ci,ci
2019-07-19T02:36:48.010Z,35.8741667,-117.697,7.5,2.58,ml,33,48,0.0856,0.16,ci,ci38600727,2019-07-19T02:48:01.630Z,"20km ESE of Little Lake, CA",earthquake,0.2,0.7,0.235,25,automatic,ci,ci
2019-07-19T02:33:34.080Z,35.8,-117.6225,7.25,2.47,ml,26,55,0.02568,0.2,ci,ci38600703,2019-07-19T02:37:22.559Z,"20km W of Searles Valley, CA",earthquake,0.28,0.77,0.316,26,automatic,ci,ci
2019-07-19T02:05:12.470Z,35.7803333,-117.6221667,9.83,2.48,ml,34,60,0.04062,0.16,ci,ci38600551,2019-07-19T02:15:58.770Z,"18km NNE of Ridgecrest, CA",earthquake,0.2,0.51,0.153,25,automatic,ci,ci
2019-07-19T01:36:05.820Z,19.2465,-64.9206,35,2.86,md,9,339,1.4426,0.35,pr,pr2019200000,2019-07-19T02:07:33.040Z,"98km NNW of Road Town, British Virgin Islands",earthquake,3.74,24.16,0.37,8,reviewed,pr,pr
2019-07-19T01:33:45.180Z,35.9724,31.0785,73.6,4.4,mb,,124,1.221,0.99,us,us70004nlq,2019-07-19T01:53:11.040Z,"76km SE of Tekirova, Turkey",earthquake,6,9.7,0.126,18,reviewed,us,us
2019-07-19T01:18:24.384Z,-20.8423,-67.2812,189.56,4.9,mb,,27,1.888,1.01,us,us70004nll,2019-07-19T01:37:04.040Z,"63km SW of Uyuni, Bolivia",earthquake,7.6,6.9,0.028,402,reviewed,us,us
2019-07-19T00:57:28.870Z,33.3126678,-116.2549973,10.41,3.31,ml,105,21,0.09494,0.22,ci,ci38600223,2019-07-19T02:43:05.179Z,"13km ENE of Borrego Springs, CA",earthquake,0.21,0.54,0.226,16,automatic,ci,ci
2019-07-19T00:42:57.981Z,61.4852,-150.0242,23.4,3.1,ml,,,,0.82,ak,ak01996rqjc6,2019-07-19T02:44:56.138Z,"3km E of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-19T00:26:23.968Z,58.5377,-151.1639,51,2.7,ml,,,,0.6,ak,ak01996rn0yj,2019-07-19T00:44:49.040Z,"93km NE of Kodiak, Alaska",earthquake,,3.5,,,automatic,ak,ak
2019-07-19T00:22:34.080Z,35.8431667,-117.667,0.12,2.64,ml,33,50,0.06275,0.29,ci,ci38600031,2019-07-19T00:33:18.070Z,"24km ESE of Little Lake, CA",earthquake,0.29,31.61,0.154,25,automatic,ci,ci
2019-07-19T00:19:25.110Z,35.9141655,-117.4355011,0.56,3.04,ml,44,40,0.1257,0.15,ci,ci38600023,2019-07-19T02:55:48.107Z,"17km N of Searles Valley, CA",earthquake,0.18,0.41,0.212,25,automatic,ci,ci
2019-07-19T00:01:10.260Z,35.6498337,-117.4670029,0.98,2.96,ml,52,39,0.06332,0.15,ci,ci38599935,2019-07-19T00:22:17.130Z,"14km SSW of Searles Valley, CA",earthquake,0.18,0.42,0.213,23,automatic,ci,ci
2019-07-18T23:54:32.440Z,36.1113333,-117.8316667,2.07,2.74,ml,29,47,0.01979,0.17,ci,ci38599911,2019-07-19T00:05:48.940Z,"13km NE of Coso Junction, CA",earthquake,0.21,0.34,0.158,25,automatic,ci,ci
2019-07-18T21:46:37.720Z,35.7859993,-117.6241684,5.51,3.61,mlr,51,52,0.03675,0.19,ci,ci38599327,2019-07-19T00:22:56.917Z,"19km NNE of Ridgecrest, CA",earthquake,0.19,0.61,0.229,15,automatic,ci,ci
2019-07-18T21:32:51.830Z,18.263,-68.9853,92,3.11,md,17,174,0.9528,0.27,pr,pr2019199004,2019-07-18T22:20:05.040Z,"43km S of La Romana, Dominican Republic",earthquake,1.75,2.23,0.44,16,reviewed,pr,pr
2019-07-18T20:55:54.543Z,30.1172,142.8409,5.1,4.8,mb,,105,3.065,0.84,us,us70004ngx,2019-07-18T23:23:14.040Z,"Izu Islands, Japan region",earthquake,7,4.3,0.041,181,reviewed,us,us
2019-07-18T20:22:31.325Z,56.541,-148.5319,11.9,3.3,ml,,,,0.94,ak,ak01995fzil5,2019-07-18T20:38:43.564Z,"272km ESE of Kodiak, Alaska",earthquake,,5.9,,,reviewed,ak,ak
2019-07-18T20:16:54.760Z,36.1111667,-117.8865,1.56,2.83,ml,22,57,0.02641,0.15,ci,ci38598855,2019-07-18T21:57:16.624Z,"9km NE of Coso Junction, CA",earthquake,0.22,0.33,0.187,27,automatic,ci,ci
